,accuracy,contest_code,problem_code,successful_submissons,tags
0,26.530612244898,ICOP1902,LONVIJJU,13.0,"['easy-medium', 'dp+trees']"
0,20.192307692308,ICOP1902,TARITAR,19.0,"['easy', 'euler-tour']"
0,25.396825396824998,ICOP1902,TIMPLEM,46.0,"['prime', 'prefix-sum', 'simple']"
0,28.346456692912998,ICOP1902,VIJJUPAR,36.0,"['easy', 'dynamic-programming']"
0,40.769230769231,LTIME63B,EID,2444.0,"['greedy', 'sorting']"
0,46.173800259403,LTIME63B,PROBSET,1741.0,['implementation']
0,10.271317829457,LTIME63B,JAGAM,207.0,"['ad-hoc', 'game']"
0,1.271186440678,LTIME63B,GHMC,3.0,['greedy']
0,90.58295964125601,LTIME63A,EID,401.0,"['greedy', 'sorting']"
0,46.153846153846,LTIME63A,PROBSET,6.0,['implementation']
0,21.031426269138,LTIME63A,JAGAM,252.0,"['ad-hoc', 'game']"
0,3.7414965986395,LTIME63A,GHMC,21.0,['greedy']
0,15.057332528666,COOK97B,MIXGA,960.0,['game-theory']
0,0.0,COOK97B,HACKFU,0.0,"['greedy', 'constructive', 'median']"
0,6.6996402877698,COOK97B,GUZAC,144.0,"['greedy', 'math']"
0,0.0,COOK97B,NQNF,0.0,"['convex-hull-trick', 'medium-hard']"
0,0.0,COOK97B,STTT,0.0,"['bitmasking', 'dynamic-programming']"
0,25.688263299524003,COOK97B,BFTT,1164.0,['bruteforce']
0,32.745314222712004,COOK97A,MIXGA,290.0,['game-theory']
0,5.5555555555556,COOK97A,HACKFU,9.0,"['greedy', 'constructive', 'median']"
0,30.949105914717997,COOK97A,GUZAC,219.0,"['greedy', 'math']"
0,12.5,COOK97A,NQNF,1.0,"['convex-hull-trick', 'medium-hard']"
0,26.666666666667,COOK97A,STTT,4.0,"['bitmasking', 'dynamic-programming']"
0,37.5,COOK97A,BFTT,6.0,['bruteforce']
0,47.596153846154,KQM52018,QM10P5A,97.0,['externalcontest']
0,7.7922077922078,KQM52018,QM10P5B,12.0,['externalcontest']
0,44.240837696335,ENAU2018,GRDPRTY,111.0,"['encoding', 'horsbug98', 'maths']"
0,15.625,ENAU2018,PLYNUM,10.0,"['bfs', 'encoding', 'graph', 'horsbug98']"
0,37.974683544304,ENAU2018,MISKEY,30.0,"['ad-hoc', 'apamit11', 'horsbug98', 'programming']"
0,26.573426573427,ENAU2018,CHFJB,38.0,"['encoding', 'horsbug98', 'primes']"
0,34.345351043643,ENAU2018,ARRPROB,176.0,"['array', 'dshahid380', 'encoding', 'horsbug98']"
0,50.0,ENAU2018,KNGPRB,7.0,"['dijkstra', 'encoding', 'graph', 'horsbug98', 'implementation']"
0,49.003984063745,ENAU2018,ACTNBM,240.0,"['implementation', 'condition', 'encoding', 'horsbug98']"
0,0.23497160759742006,AUG18B,PRINDRAG,7.0,"['likecs', 'step_by_step', 'medium-hard', 'dynamic-programming']"
0,3.3898305084746,AUG18B,LONCYC,20.0,"['likecs', 'cycle', 'sanroylozan', 'dfs', 'medium']"
0,0.0,AUG18B,RIVER,0.0,"['hard', 'likecs', 'matrix-mul', 'bciobanu', 'tropical-geometry', 'link-cut-tree']"
0,2.119298245614,AUG18B,KCOMPRES,135.0,"['likecs', 'segment-tree', 'binary-search', 'medium']"
0,13.346452447703,AUG18B,SHKNUM,4606.0,"['likecs', 'jitendersheora', 'simple', 'binary-search']"
0,23.980027178207003,AUG18B,SPELLBOB,7247.0,"['likecs', 'admin2', 'cakewalk']"
0,22.077577045696,AUG18B,PROBLEMS,3908.0,"['likecs', 'easy', 'vidyut_1', 'sorting']"
0,0.3003003003003,AUG18B,INMAT,2.0,"['likecs', 'cases', 'medium-hard', 'binary-search']"
0,2.1032504780115,AUG18A,PRINDRAG,34.0,"['likecs', 'step_by_step', 'medium-hard', 'dynamic-programming']"
0,11.434977578475001,AUG18A,LONCYC,138.0,"['likecs', 'cycle', 'sanroylozan', 'dfs', 'medium']"
0,3.304347826087,AUG18A,RIVER,14.0,"['hard', 'likecs', 'matrix-mul', 'bciobanu', 'tropical-geometry', 'link-cut-tree']"
0,4.4408139016783,AUG18A,KCOMPRES,258.0,"['likecs', 'segment-tree', 'binary-search', 'medium']"
0,28.863636363635997,AUG18A,SHKNUM,120.0,"['likecs', 'jitendersheora', 'simple', 'binary-search']"
0,63.934426229508,AUG18A,SPELLBOB,114.0,"['likecs', 'admin2', 'cakewalk']"
0,46.892655367231995,AUG18A,PROBLEMS,79.0,"['likecs', 'easy', 'vidyut_1', 'sorting']"
