,accuracy,contest_code,problem_code,successful_submissons,tags
0,24.45179255134,COOK84,CHNGFUNC,1262.0,"['maths', 'easy-medium', 'number-theory']"
0,46.916299559471,COOK84,CHNGOR,1668.0,['easy']
0,41.463414634146,COOK84,CHNGSEQ,17.0,"['bit', 'math', 'hard']"
0,17.017208413002,COOK84,CHNGSUM,174.0,['medium']
0,30.243902439024,COOK84,BIPARTRE,62.0,"['maxflow', 'medium', 'vivek1_007', 'max']"
0,7.0821529745042,JULY17,MULDIG,47.0,"['implementation', 'medium-hard', 'simulation']"
0,5.5674045745385,JULY17,PSHTTR,624.0,"['datastructure', 'sorting', 'medium']"
0,14.227990694256999,JULY17,CHEFSIGN,4407.0,"['ad-hoc', 'greedy', 'cakewalk']"
0,37.412875253828,JULY17,NITIKA,6515.0,['implementation']
0,23.376623376623,JULY17,EXPTREE,1046.0,"['numbertheory', 'math']"
0,15.367004790082,JULY17,CALC,4053.0,"['easy', 'math', 'simple-math']"
0,12.247973394305001,JULY17,IPCTRAIN,2109.0,"['stl', 'greedy', 'heap', 'easy']"
0,8.3581282120638,JULY17,TWOCOINS,265.0,"['tree-dp', 'dynamic-programming', 'easy-medium']"
0,1.5602836879433,JULY17,APRPS,29.0,"['fft', 'ntt', 'math', 'hard']"
0,42.303071906641,JULY17,SRVRS,163.0,"['challenge', 'datastructres', 'kdtree']"
0,0.55555555555556,LTIME49,SHDWCMP,3.0,"['segment-tree', 'partial-sums', 'binary-search', 'dfs', 'hard']"
0,18.217281061049,LTIME49,MAXSEGM,898.0,"['two-pointers', 'easy']"
0,30.012699308593,LTIME49,TWONMS,2065.0,"['cakewalk', 'simple-math']"
0,7.521186440678,LTIME49,COMPCLUB,64.0,"['medium', 'dfs', 'dp+trees', 'dynamic-programming']"
0,19.256756756757,COOK83,CENTREE,169.0,"['graph', 'ad-hoc', 'tree', 'constructive']"
0,5.119825708061,COOK83,KNICOV,68.0,"['dynamic-programming', 'bitmasks', 'easy-medium']"
0,52.647438656908996,COOK83,SNACKUP,1194.0,"['ad-hoc', 'easy', 'constructive']"
0,7.5709779179811,COOK83,ADADET,24.0,"['stack', 'medium', 'convex', 'hull', 'geometry']"
0,52.694174757282,COOK83,ADACRA,2143.0,['cakewalk']
0,1.3887370147621998,JUNE17,ES,99.0,"['number-theory', 'hard']"
0,46.420348645981996,JUNE17,GOODSET,8098.0,['cakewalk']
0,3.933804516462701,JUNE17,PRMQ,1002.0,"['medium', 'segment-tree']"
0,2.8021486123545003,JUNE17,CLONEME,242.0,"['medium-hard', 'segment-tree', 'polynomial']"
0,2.7737226277372,JUNE17,OAK,38.0,"['hard', 'heavy-light']"
0,7.0391083532597,JUNE17,SUMQ,3173.0,['medium']
0,38.166510757717,JUNE17,XENRANK,6995.0,['simple']
0,17.72429976534,JUNE17,UNIONSET,3178.0,['medium']
0,15.273474549478,JUNE17,NEO01,4446.0,['easy']
0,12.884615384615,SNCKPB17,CAPTCITI,64.0,"['medium', 'snckpb17', 'sorting', 'tree-dp']"
0,32.274494769703004,SNCKPB17,SNELECT,5338.0,"['ad-hoc', 'easy', 'greedy', 'snckpb17']"
0,11.247161054605998,SNCKPB17,SNCOUP,2105.0,"['easy-medium', 'greedy', 'snckpb17']"
0,15.349311575727,SNCKPB17,SNSOCIAL,2193.0,"['bfs', 'easy-medium', 'graph-theory', 'snckpb17']"
0,29.164420485175,SNCKPB17,SNDISCUS,511.0,"['basic-math', 'greedy', 'proof', 'snckpb17']"
0,9.8827470686767,SNCKPB17,SNGRAPH,423.0,"['dsu', 'graph-theory', 'medium', 'snckpb17']"
0,16.371923427529993,SNCKPA17,PROTEPOI,844.0,"['easy-medium', 'geometry', 'greedy', 'snackdown', 'snckpa17', 'sorting']"
0,12.738520519299,SNCKPA17,CONSESNK,1358.0,"['easy', 'snackdown', 'snckpa17', 'ternary']"
0,74.585548952143,SNCKPA17,TEAMFORM,8901.0,"['cakewalk', 'snckpa17']"
0,13.121579823935,SNCKPA17,SNTEMPLE,2091.0,"['array', 'binary-search', 'easy', 'sequence', 'snckpa17']"
0,16.770186335404,SNCKPA17,GAMEBALL,390.0,"['implementation', 'medium', 'snackdown', 'snckpa17']"
0,17.560975609756,SNCKPA17,ISSNAKE,3789.0,"['dfs', 'easy', 'snackdown', 'snckpa17']"
0,38.109161793372,LTIME48,PREFINVS,1020.0,"['implementation', 'strings', 'easy']"
0,12.041884816754001,LTIME48,POSTTREE,20.0,"['lca', 'dfs', 'easy-medium']"
0,2.3255813953488,LTIME48,SUBINVER,7.0,"['medium-hard', 'persistence', 'segment-tree', 'hashes']"
0,0.38759689922481,LTIME48,TELEPORT,1.0,"['medium-hard', 'segment-tree']"
0,70.999346832136,COOK82,COOK82A,1075.0,['cakewalk']
0,20.423183072677,COOK82,COOK82B,221.0,"['prime-factorization', 'easy', 'simple-math']"
0,4.2553191489362,COOK82,COOK82C,34.0,"['easy-medium', 'queue']"
0,16.463414634145998,COOK82,COOK82D,54.0,"['medium', 'euler-tour', 'hashing']"
0,38.926497578,SNCKQL17,SNAKPROC,11776.0,"['cakewalk', 'implementation', 'snckql17', 'string']"
0,5.620864839319498,SNCKQL17,SNAKEEAT,1640.0,"['binary-search', 'easy', 'snckql17', 'sorting', 'vivek1_007']"
0,51.38258897418,SNCKQL17,TEMPLELA,10798.0,"['array', 'cakewalk', 'simple-math', 'snckql17']"
0,12.866497059682,SNCKQL17,SAMESNAK,2857.0,"['easy', 'grid', 'implementation', 'snckql17']"
0,15.151515151515,BITM2017,BITMASK3,55.0,"['binary-search', 'searching']"
0,51.29411764705901,BITM2017,BITMASK1,166.0,"['bitm2017', 'cakewalk']"
0,22.689075630252,BITM2017,BITMASK4,22.0,"['geometry', 'map', 'medium', 'sets']"
0,12.222222222222,BITM2017,BITMASK5,21.0,"['medium', 'segment-tree']"
0,86.574074074074,BITM2017,BITMASK2,152.0,"['bitm2017', 'easy', 'sorting', 'vectors']"
0,5.2152211387552,MAY17,CHEFSUBA,1843.0,['long-contest']
0,34.649484036626,MAY17,CHEFROUT,6597.0,['long-contest']
0,40.358773646444995,MAY17,UNICOURS,5660.0,['long-contest']
0,41.734308446515996,MAY17,MXMEDIAN,4765.0,['long-contest']
0,6.0033966586358,MAY17,CHEFCODE,1296.0,['long-contest']
0,9.6741292263756,MAY17,WSITES01,1703.0,['long-contest']
0,2.3713128976287003,MAY17,KILLER,29.0,"['tree-dp', 'hld', 'convex-hull']"
0,7.9584775086505,LTIME47,DIGVIRUS,45.0,"['medium', 'ad-hoc', 'bfs']"
0,5.0,LTIME47,BEARSEG,118.0,"['bst', 'easy-medium', 'partial-sums']"
0,1.4525139664804,LTIME47,CLOSESTQ,12.0,"['divide-and-conquer', 'medium-hard', 'sqrt', 'sets']"
0,53.043478260869996,LTIME47,SEGM01,1317.0,"['cakewalk', 'linear-search']"
0,1.1844331641286,COOK81,XORSUMS,7.0,"['medium', 'segment-tree']"
0,1.1904761904762,COOK81,BESTTRI,1.0,"['medium-hard', 'geometry']"
0,35.071090047393,COOK81,SHOPTRIP,73.0,"['dp+bitmask', 'easy']"
0,72.131147540984,COOK81,CANDY123,1384.0,['cakewalk']
0,33.757961783439,COOK81,ABREPEAT,568.0,['simple']
0,9.878419452887501,APRIL17,SMARKET,793.0,"['medium', 'segment-tree']"
0,28.558605729673,APRIL17,ROWSOLD,3587.0,['greedy']
0,8.1169312954444,APRIL17,CLIQUED,1448.0,"['graph-theory', 'easy']"
0,60.15252621544301,APRIL17,SEABIL,210.0,['challenge']
0,38.253968253968,ICL2017,ICL1701,472.0,"['likecs', 'looping']"
0,16.396396396396,ICL2017,ICL1704,178.0,"['priority', 'easy']"
0,7.547169811320798,ICL2017,ICL1702,8.0,"['matrix-expo', 'modular-arith']"
0,2.0833333333333,ICL2017,ICL1706,2.0,"['likecs', 'derivative', 'arithmetic', 'hard']"
0,22.222222222221998,ICL2017,ICL1703,18.0,"['medium', 'modular-arith']"
0,16.0,ICL2017,ICL1705,4.0,"['medium-hard', 'auxiliary-tree']"
0,59.617635583301,LTIME46,BRLADDER,1494.0,['cakewalk']
0,57.718120805369,LTIME46,SPECIES,272.0,"['flood_fill_algorithm', 'simple', 'dfs', 'graph']"
0,7.894736842105299,LTIME46,HAIRCUT,30.0,"['dynamic-programming', 'medium']"
0,0.25252525252525004,LTIME46,ALMROW,1.0,"['shortest-path', 'floyd-warshall', 'hard']"
0,27.829698857736002,COOK80,ROBOTG,1040.0,"['bruteforce', 'easy', 'string']"
0,71.698113207547,COOK80,INCXOR,37.0,"['medium-hard', 'bitmasks', 'digit-dp']"
0,49.775784753363,COOK80,CARDS777,219.0,"['medium', 'expected-value']"
0,20.0,COOK80,MEETUP,10.0,"['divide-and-conq', 'interactive', 'hard']"
0,55.439330543933,COOK80,RAINBOW,264.0,"['greedy', 'easy-medium', 'graph']"
0,5.5011303692540015,MARCH17,SCHEDULE,966.0,"['binary-search', 'easy']"
0,7.3563990594558,MARCH17,FAVGAME,188.0,"['dp+bitmask', 'tree', 'medium', 'dynamic-programming', 'dfs']"
0,1.2912151256629,MARCH17,SUMDIS,40.0,"['hard', 'graph', 'divide-and-conq', 'geometry']"
0,25.149700598802,MARCH17,TUPLES2,29.0,"['dynamic-programming', 'tree', 'hard']"
0,47.764572722128,MARCH17,XENTASK,6900.0,"['basic-prog', 'cakewalk']"
0,14.520688768954,MARCH17,PSHTBRTH,499.0,"['medium', 'sprague-grundy', 'game-theory', 'segment-tree']"
0,38.04073595471,MARCH17,EXTRAN,5882.0,"['simple', 'sorting']"
0,6.1497326203209015,MARCH17,BEARTRAP,39.0,"['hard', 'interactive']"
0,77.632830547629,MARCH17,SORTROW,1853.0,"['challenge', 'dynamic-programming', 'optimization']"
0,48.612562405666,MARCH17,BANDMATR,3954.0,"['simple', 'basic-prog', 'matrix']"
0,10.295769374766001,LTIME45,QHOUSE,267.0,"['binary-search', 'easy']"
0,37.561942517344,LTIME45,COOMILK,1111.0,['cakewalk']
0,7.1301247771836,LTIME45,BRIBETR,40.0,"['dynamic-programming', 'two-pointers', 'medium']"
0,11.194029850746,LTIME45,OVERPNT,29.0,['medium-hard']
0,55.721174923279,COOK79,DWNLD,1246.0,['cakewalk']
0,9.1304347826087,COOK79,ADDMULT,21.0,"['medium', 'game-theory', 'ad-hoc']"
0,25.581395348837,COOK79,MIXFLVOR,11.0,"['medium-hard', 'two-pointers', 'gauss-elim']"
0,19.039869812856,COOK79,CHAIRS,230.0,['simple']
0,10.607621009269,COOK79,COOKGAME,101.0,['easy-medium']
0,6.4867935245669015,FEB17,MAKETRI,1950.0,"['maths', 'stl']"
0,6.2275289626703,FEB17,MFREQ,1241.0,"['ad-hoc', 'implementation']"
0,3.864406779661,LTIME44,SEALUP,106.0,"['dynamic-programming', 'geometry', 'easy']"
0,28.226887003126002,LTIME44,NOTINCOM,1194.0,"['basic-prog', 'cakewalk', 'sets']"
0,3.726708074534201,LTIME44,IMPROVE,6.0,"['medium-hard', 'permutation']"
0,5.0909090909091,LTIME44,SEGMENTQ,26.0,"['medium-hard', 'segment-tree', 'range-queries']"
0,6.222222222222201,COOK78,DIGITLIS,14.0,"['dp+bitmask', 'easy-medium', 'lis']"
0,3.0612244897959,COOK78,XRGRD,3.0,"['fractals', 'maths', 'easy-medium', 'bitwise-operatn']"
0,11.165048543689,COOK78,MTRNSFRM,23.0,"['ad-hoc', 'easy', 'math', 'median']"
0,59.322033898304994,COOK78,LISDIGIT,975.0,"['cakewalk', 'lis', 'constructive']"
0,0.0,COOK78,UNGAME,0.0,"['medium-hard', 'fractals', 'dynamic-programming', 'math']"
0,41.875825627477,COSE2017,GGSQR,310.0,"['basic-prog', 'cakewalk']"
0,31.63097199341,COSE2017,GGBUNNY,188.0,"['binary-search', 'easy', 'maths']"
0,13.207547169811,COSE2017,GGSPAG,47.0,"['easy-medium', 'primenumbers', 'segment-tree', 'sieve']"
0,21.071428571429,COSE2017,GGCURR,57.0,"['easy-medium', 'euclidean', 'maths', 'number-theory']"
0,37.735849056603996,COSE2017,GGBHAI,59.0,"['bfs', 'easy-medium', 'expected-value', 'tree']"
0,14.942528735632,LTC2017,COLGQU,13.0,"['dfs', 'easy', 'union-find']"
0,9.022556390977401,LTC2017,WGME,24.0,"['dp+bitmask', 'sprague-grundy']"
0,22.222222222221998,LTC2017,OSQUE,14.0,['dynamic-programming']
0,74.074074074074,LTC2017,MFQUE,175.0,['easy-medium']
0,42.222222222222,LTC2017,PARQUE,205.0,"['simple-easy', 'string', 'tejaram15']"
0,13.454634865994999,JAN17,CAPIMOVE,2482.0,"['heap', 'tree', 'data-structure', 'simple', 'sorting', 'sets']"
0,16.797027766914,JAN17,CATSDOGS,5533.0,"['ad-hoc', 'cakewalk']"
0,3.3917682926829,JAN17,SEABOX,71.0,"['medium-hard', 'knapsack', 'ad-hoc', 'dynamic-programming']"
0,4.1315345699831,JAN17,TUPLES,31.0,"['fft', 'mobius_function', 'primitive-root', 'number-theory', 'hard']"
0,5.0542045121594015,JAN17,CHEFCIRC,271.0,"['line-sweep', 'medium', 'geometry', 'binary-search']"
0,1.7741681122851003,JAN17,FOURSQ,173.0,"['data-structure', 'four-square', 'segment-tree', 'lagrange']"
0,6.8308034061459,JAN17,DIGITSEP,331.0,"['medium', 'dynamic-programming', 'ad-hoc', 'gcd']"
0,17.976904845948,JAN17,RESERVOI,3227.0,"['simple', 'ad-hoc']"
0,3.7090500822006,JAN17,TOURISTS,807.0,"['eulerian', 'graph', 'easy']"
0,50.717703349282,KQPM2017,DISTINCT,103.0,"['bruteforce', 'cakewalk']"
0,85.034013605442,KQPM2017,SUMALPHA,122.0,"['bruteforce', 'cakewalk']"
0,23.064918851436,LTIME43,SUPVIL,725.0,"['basic-prog', 'cakewalk']"
0,7.1619217081850985,LTIME43,FLYMODE,158.0,"['line-sweep', 'simple', 'sorting']"
0,2.3017902813299,LTIME43,MSTQS,9.0,"['kruskal', 'medium', 'mst', 'graph']"
0,1.1834319526627,LTIME43,SBSWAP,2.0,"['link-cut-tree', 'medium-hard', 'treap', 'tree']"
0,13.559322033898,KOL16MOS,KOL16A,8.0,"['dynamic-programming', 'medium']"
0,54.333333333332995,KOL16MOS,KOL16B,159.0,"['cakewalk', 'bitwise']"
0,9.6774193548387,KOL16MOS,KOL16C,3.0,"['binary-search', 'hard']"
0,0.0,KOL16MOS,KOL16D,0.0,['hard']
0,17.127071823204,KOL16MOS,KOL16E,30.0,"['medium', 'number-theory', 'modular-arith']"
0,10.619469026549,KOL16MOS,KOL16F,36.0,"['easy', 'string']"
0,0.0,KOL16MOS,KOL16G,0.0,"['geometry', 'integrals', 'hard']"
0,33.787465940054,KOL16MOS,KOL16H,121.0,"['easy', 'binary']"
0,14.285714285713999,KOL16MOS,KOL16I,1.0,"['graph', 'hard']"
0,22.5,KOL16MOS,KOL16K,9.0,"['dynamic-programming', 'geometry']"
0,51.646447140381,BITF2016,THESAV,292.0,"['bitf2016', 'easy', 'stack']"
0,47.672778561354,BITF2016,SPECRK,335.0,"['bit', 'bitf2016', 'easy', 'manipulation', 'xor']"
0,11.631419939577,BITF2016,APJSWG,75.0,"['bitf2016', 'bubblesort', 'easy']"
0,1.7064846416382,BITF2016,JUMBSTRY,5.0,"['bitf2016', 'dynamic-programming', 'medium', 'stacks']"
0,3.7296037296037,BITF2016,DMNTION,16.0,"['bitf2016', 'dynamic-programming', 'medium']"
0,11.332007952286,AMR16MOS,AMR16C,53.0,"['amr16', 'binary-search', 'easy', 'icpc2016', 'sorting']"
0,50.0,AMR16MOS,AMR16F,2.0,"['amr16', 'icpc2016']"
0,50.0,AMR16MOS,AMR16E,1.0,"['amritapuri', 'graph', 'union-find']"
0,37.623762376238,AMR16MOS,AMR16H,108.0,"['amr16', 'icpc2016']"
0,17.985611510791,AMR16MOS,AMR16I,25.0,"['amr16', 'amr16mos', 'icpc2016']"
0,20.454545454545,AMR16MOS,AMR16J,9.0,"['amr16', 'icpc2016']"
0,43.57912178956101,COOK77,CHEFSETC,1035.0,"['bruteforce', 'bitmasks', 'cakewalk']"
0,13.751087902523999,COOK77,CHEFARRB,157.0,"['easy', 'linear-search', 'bitwise']"
0,5.0445103857567,COOK77,CHEFNUMK,17.0,"['easy-medium', 'query']"
0,0.0,COOK77,CHEFTRI4,0.0,"['geometry', 'ad-hoc', 'hard']"
0,7.0,COOK77,CHEFINS,31.0,"['fft', 'medium']"
0,7.1428571428571,KGP16MOS,KGP16A,1.0,"['dynamic-programming', 'icpc16', 'vijju123']"
0,3.030303030303,KGP16MOS,KGP16B,1.0,"['geometry', 'icpc16', 'point_in_polygon', 'mathspuzzle']"
0,2.5641025641026003,KGP16MOS,KGP16C,1.0,"['implementation', 'greedy', 'icpc16']"
0,11.111111111110999,KGP16MOS,KGP16D,10.0,"['array', 'constructive', 'icpc16', 'looping']"
0,12.529002320186,KGP16MOS,KGP16F,54.0,"['programming', 'dynamic-programming', 'dynamic', 'icpc16']"
0,0.0,KGP16MOS,KGP16G,0.0,"['bfs', 'brute-force', 'pre-processing', 'probability', 'binary-search', 'expected-value', 'icpc16']"
0,15.789473684210998,KGP16MOS,KGP16J,3.0,"['graph-theory', 'mincut-maxflow', 'bellman-ford']"
0,7.8632478632479,DEC16,CHEFAFD,79.0,"['maxflow', 'matching', 'hamiltonian', 'hopcroft-karp']"
0,1.4202383971595,DEC16,SEAINCR,50.0,"['fenwick-tree', 'dynamic-programming', 'sereja', 'analysis']"
0,59.217243335224,LTIME42,CHEFSTUD,1007.0,['cakewalk']
0,7.3610415623435,LTIME42,CHEFSSET,141.0,"['number-theory', 'prime']"
0,6.4516129032258,LTIME42,BALANPOL,10.0,"['dynamic-programming', 'geometry']"
0,6.3636363636364015,LTIME42,TOMJERGA,20.0,"['lca', 'medium-hard', 'tree']"
0,1.186943620178,COOK76,SEQUAT2,4.0,"['medium-hard', 'sieve', 'bitwise']"
0,2.8066528066528,COOK76,SECUBE,27.0,"['easy-medium', 'modular-arith']"
0,21.112515802781,COOK76,SEBIHWY,491.0,"['ad-hoc', 'cakewalk']"
0,45.454545454545,COOK76,SELECT,10.0,"['medium', 'backtracking']"
0,13.392857142857,COOK76,SETELE,45.0,"['easy-medium', 'union-find']"
0,20.651032551628,NOV16,CPERM,2249.0,"['fast-expo', 'easy']"
0,15.807860262009001,NOV16,FRIEMEET,644.0,"['medium', 'dfs', 'tree']"
0,7.0588235294118,NOV16,URBANDEV,374.0,"['line-sweep', 'medium', 'segment-tree']"
0,12.806577480490999,NOV16,GIFTCHEF,823.0,"['dynamic-programming', 'easy', 'kmp']"
0,5.549898167006099,NOV16,KIRMEME,85.0,"['medium-hard', 'divide-and-conq', 'tree']"
0,38.156424581006,NOV16,CHSQR,2601.0,"['simple', 'basic-prog']"
0,3.804347826087,NOV16,BIKE,19.0,"['maths', 'matrix-expo', 'hard']"
0,1.2878787878788,NOV16,SEAPERM3,16.0,"['dynamic-programming', 'matrix-expo', 'hard']"
0,17.121227313747,NOV16,ALEXTASK,3200.0,"['simple', 'basic-prog', 'lcm']"
0,1.4739229024943,LTIME41,RESTPERM,13.0,"['recursion', 'divide-and-conq']"
0,2.6988636363636,LTIME41,FFCOMB,37.0,"['dynamic-programming', 'bits']"
0,22.167950403908,LTIME41,BOUQUET,1160.0,['cakewalk']
0,2.4299065420561,LTIME41,COUNTIES,12.0,['medium']
0,18.827930174564,COOK75,UGLYF,293.0,"['binary-search', 'easy-medium']"
0,57.722477684609004,COOK75,PERMEXIS,1666.0,"['simple', 'logic', 'sorting']"
0,3.1042128603104,COOK75,COUNTWAY,14.0,"['fft', 'medium-hard', 'divide-and-conq']"
0,48.163265306122,COOK75,BOOKCHEF,1049.0,"['cakewalk', 'sorting']"
0,16.25,COOK75,SWINDOW,13.0,"['medium', 'two-pointers', 'segment-tree']"
0,65.088419851683,TSTIND16,AMR15A,1100.0,"['simple', 'simulation', 'easy']"
0,18.143459915612,TSTIND16,AMR15B,168.0,"['medium', 'number-theory']"
0,0.0,TSTIND16,CHN15E,0.0,"['graph-sqrt', 'graph', 'tree', 'hard']"
0,41.891891891892,TSTIND16,CHN15F,30.0,"['medium-hard', 'bitmasks', 'dynamic-programming']"
0,64.994026284349,TSTIND16,KOL15A,1044.0,"['simple', 'conversion', 'strings']"
0,36.893203883495005,TSTIND16,KOL15B,362.0,"['kadane', 'maximum', 'maxsum', 'dynamic-programming', 'maximum-sum', 'easy']"
0,59.444444444443995,NPLQ1602,NPLFLA,104.0,"['basic-prog', 'nplq1602', 'string']"
0,14.814814814815,NPLQ1602,NPLFLD,16.0,"['bfs', 'dynamic-programming', 'memoization', 'nplq1602']"
0,16.447368421053,NPLQ1602,NPLFLC,25.0,"['binary-search', 'fenwick-tree', 'nplq1602', 'segment-tree', 'suffix']"
0,37.719298245614,NPLQ1602,NPLFLB,83.0,"['array', 'basic-prog', 'nplq1602']"
0,30.0,NPLQ1602,NPLFLF,3.0,"['easy-medium', 'nplq1601', 'strings', 'trie']"
0,8.3333333333333,NPLQ1602,NPLFLE,1.0,"['lis', 'nplq1602', 'subset']"
0,12.585034013605002,NPLQ1601,RRTREGAM,36.0,"['easy-medium', 'game', 'grundy', 'numbers', 'theory']"
