,labels
0,propagation
1,mo-algorithm
2,cases
3,vidyut_1
4,loops
5,suffix
6,queue
7,snckql17
8,sprague-grundy
9,game
10,medium
11,sequence
12,snckel16
13,jump-pointer
14,spanningtree
15,lis
16,math
17,subsequence
18,primes
19,bitset
20,lca
21,insq16
22,floyd-warshall
23,xor
24,flood_fill_algorithm
25,snckql16
26,killjee
27,supernode
28,loop
29,point_in_polygon
30,cross-product
31,minimum-cut
32,basic-maths
33,tree-dp
34,dp+probability
35,numbertheory
36,link-cut-tree
37,stl
38,bubblesort
39,simple
40,stacks
41,convex-hull
42,hull
43,branch
44,2sat
45,manipulation
46,symmetry
47,activity-selection
48,pag
49,medium-hard
50,bignum
51,dirichlet-convolution
52,datastructure
53,range-tree
54,inlo2016
55,cobl2016
56,squares
57,admin2
58,topology
59,convex-hull-optimization
60,primitive-root
61,ad-hoc
62,prefix-sums
63,bst
64,dshahid380
65,rules
66,permutation
67,dp+trees
68,max
69,derivative
70,ratingoverflow
71,amritapuri
72,multiset
73,lazy
74,fft
75,dp+bitmask
76,segment-tree
77,icpc16
78,vijju123
79,brute-force
80,map
81,difference-array
82,fibonacci
83,auxiliary-tree
84,convex
85,bit
86,maxflow
87,kjcs16
88,algebra
89,step_by_step
90,euclids-algo
91,memoization
92,kmp
93,submask-sum
94,data-structure
95,implementation
96,edge-cover
97,series
98,binomial
99,bellman-ford
100,shortest-path
101,range-queries
102,convex-polygon
103,mathematics
104,modular-arith
105,hopcroft-karp
106,nots0fast
107,gomory-hu
108,treap
109,proc1601
110,prime-factor
111,2-d-array
112,polynomial
113,greedy-algo
114,knapsack
115,constructive
116,geometry
117,triangle
118,mnnit
119,programming
120,grundy
121,qeahea
122,meet-in-middle
123,seive
124,snckpa16
125,mergesort
126,bfs
127,iloveksh
128,graph-theory
129,binary-lifting
130,biginteger
131,ternary
132,prime
133,union-find
134,amr16
135,recursion
136,query
137,maximum-sum
138,theory
139,grid
140,mincut-maxflow
141,pdn
142,scc
143,observsations
144,simple-math
145,matroid-partition
146,string-process
147,optimization
148,linear-search
149,randomized
150,easy
151,kdtree
152,maximum
153,parity-obsv
154,bruteforce
155,minimum_element
156,vivek1_007
157,implemenatation
158,mex
159,queries
160,bitmask
161,snackdown
162,game-theory
163,euler-tour
164,expected-value
165,stack
166,divide-and-conquer
167,hld
168,lazypropagation
169,log
170,generating_functions
171,bipartite
172,random
173,string
174,teja349
175,prefix-sum
176,suffix-array
177,freq
178,suffix-trees
179,enumeration
180,divisors
181,dfs
182,number-theory
183,priority
184,kadane
185,inclusn-exclusn
