,labels
0,convex-hull-trick
1,medium-hard
2,teja349
3,2sat
4,cases
5,prime
6,counting
7,iloveksh
8,sum
9,hard
10,sqrt
11,dynamic-programming
12,geometry
13,divide-and-conq
14,data-structure
15,ioi
16,miller-rabin
17,median
18,matroid-partition
19,cycle
20,bubblesort
21,fast-expo
22,mgch
23,conditions
24,scc
25,factorization
26,bound
27,codemelange
28,inclusn-exclusn
29,medium
30,heap
31,matrix-mul
32,killjee
33,segment-tree
34,math
35,graphs
36,equations
37,xellos0
38,deque
39,floyd-warshall
40,cakewalk
41,kingofnumbers
42,constructive
43,dp+bitmask
44,minimum_element
45,fwt
46,string
47,prefix
48,euler-tour
49,graph
50,supernode
51,2-d-array
52,game-theory
53,epsilon
54,convex-hull-optimization
55,optimization
56,triangle
57,graph-theory
58,fenwick-tree
59,bciobanu
60,modular-arith
61,convex-polygon
62,chef
63,strings
64,binary-lifting
65,datastructure
66,admin2
67,dp+trees
68,binary-numbers
69,convolution
70,union-find
71,sack
72,line-sweep
73,binary-search
74,jitendersheora
75,lines
76,string-hashing
77,tsp
78,mst
79,minimum-cut
80,expected-value
81,2darray
82,gomory-hu
83,easy-medium
84,implementation
85,bit
86,array
87,bitwise-operatn
88,nots0fast
89,basic-math
90,persistence
91,step_by_step
92,observations
93,np-hard
94,ntt
95,tree
96,factorial
97,meet-in-middle
98,turingcup
99,prefix-sums
100,sanroylozan
101,horsbug98
102,spanningtree
103,dynamic
104,codr2018
105,trie
106,inversions
107,pag
108,condition
109,finding-pattern
110,seive
111,recurrences
112,bfs
113,tries
114,squares
115,offline
116,tropical-geometry
117,modulo
118,primes
119,interactive
120,med-hard
121,monte-carlo
122,hruday968
123,fekete
124,xor
125,looping
126,difference-array
127,stack
128,pre-processing
129,maths
130,easy-med
131,generalized-catalan
132,externalcontest
133,sieve
134,stl
135,lucas-theorem
136,2-sat
137,nim
138,hashing
139,mex
140,multiset
141,brute-force
142,dp-bitmask
143,taylor-series
144,logic
145,bipartite
146,codh2018
147,treap
148,dshahid380
149,auxiliary-tree
150,rules
151,branch
152,vidyut_1
153,greedy
154,tree-dp
155,sorting
156,dsu
157,number-theory
158,palindrome
159,line
160,loops
161,codechef
162,minimum-spanning-tree
163,encoding
164,likecs
165,programming
166,dfs
167,sets
168,divisibility
169,games
170,lazy
171,heaps
172,shortest-path
173,freq
174,link-cut-tree
175,trigonometry
176,gcd
177,bottom-up
178,convex-hull
179,merge-sort-tree
180,dirichlet-convolution
181,pre-process
182,simulation
183,squareroot
184,lazypropagation
185,hull
186,scanline
187,sliding-window
188,easy
189,probability
190,ratingoverflow
191,power-series
192,random
193,game
194,pieguy
195,generating_functions
196,bitmask
197,dijkstra
198,mobius
199,bruteforce
200,suffix-trees
201,chess
202,heavy-light
203,ad-hoc
204,bitmasking
205,bignum
206,inclusion-exclusion
207,mo-algorithm
208,segtree
209,euclidean-algo
210,simple
211,two-pointers
212,apamit11
213,cross-product
214,prefix-sum
215,matrix-expo
216,topology
217,challenge
218,kmp
219,homotopic
220,observsations
221,queries
222,mask
223,barenuz
224,lca
225,isomorphism
226,permutation
227,hld
228,mergesort
229,fft
